taxonomy	Blank_234_2	UCS_0001_BAL	UCS_0002_BAL	UCS_0002_UA	UCS_0004_BAL	UCS_0005_BAL	UCS_0006_BAL	UCS_0007_BAL	UCS_0007_UA	UCS_0009_BAL	UCS_0009_UA	UCS_0010_BAL	UCS_0010_UA	UCS_0013_BAL	UCS_0013_UA	UCS_0014_BAL	UCS_0014_UA	UCS_0015_BAL	UCS_0015_UA	UCS_0016_BAL	UCS_0016_UA	UCS_0017_BAL	UCS_0018_BAL	UCS_0018_UA	UCS_0019_BAL	UCS_0020_BAL	UCS_0021_BAL	UCS_0021_UA	UCS_0022_BAL	UCS_0022_UA	UCS_0023_BAL	UCS_0023_UA	UCS_0025_BAL	UCS_0025_UA	UCS_0028_BAL	UCS_0028_UA	UCS_0029_BAL	UCS_0030_BAL	UCS_0030_UA	UCS_0031_BAL	UCS_0032_BAL	UCS_0032_UA	UCS_0033_BAL	UCS_0034_BAL	UCS_0035_BAL	UCS_0036_BAL	UCS_0037_BAL	UCS_0038_BAL	UCS_0038_UA	UCS_0039_BAL	UCS_0039_UA	UCS_0040_BAL	UCS_0040_BKG	UCS_0041_BAL	UCS_0041_UA	UCS_0042_BAL	UCS_0042_UA	UCS_0043_BAL	UCS_0043_UA	UCS_0044_BAL	UCS_0046_BAL	UCS_0046_UA	UCS_0047_BAL	UCS_0048_BAL	UCS_0048_UA	UCS_0049_BAL	UCS_0050_BAL	UCS_0050_UA	UCS_0051_BAL	UCS_0051_UA	UCS_0053_BAL	UCS_0053_UA	UCS_0054_BAL	UCS_0054_UA	UCS_0055_BAL	UCS_0055_UA	UCS_0056_BAL	UCS_0057_BAL	UCS_0057_UA	UCS_0058_BAL	UCS_0058_UA	UCS_0059_BAL	UCS_0060_BAL	UCS_0060_UA	UCS_0061_BAL	UCS_0061_UA	UCS_0062_BAL	UCS_0063_BAL	UCS_0063_UA	UCS_0064_BAL	UCS_0065_BAL	UCS_0066_BAL	UCS_0069_BAL	UCS_0069_BKG	UCS_0070_BAL	UCS_0070_BKG	UCS_0071_BAL	UCS_0072_BAL	UCS_0073_BAL	UCS_0073_UA	UCS_0074_BAL	UCS_0074_UA	UCS_0075_BAL	UCS_0076_BAL	UCS_0077_BAL	UCS_0077_UA	UCS_0079_BAL	UCS_0080_BAL	UCS_0081_BAL	UCS_0082_BAL	UCS_0083_BAL	UCS_0083_UA	UCS_0085_BAL	UCS_0085_BKG	UCS_0087_BAL	UCS_0088_BAL	UCS_0088_UA	UCS_0090_BAL	UCS_0093_BAL	UCS_0093_UA	UCS_0094_BAL	UCS_0094_UA	UCS_0095_BAL	UCS_0096_BAL	UCS_0096_UA	UCS_0097_BAL	UCS_0097_UA	UCS_0098_BAL	UCS_0099_BAL	UCS_0099_UA	UCS_0100_BAL	UCS_0101_BAL	UCS_0101_UA	UCS_0103_BAL	UCS_0106_BAL	UCS_0106_UA	UCS_0109_BAL	UCS_0114_BAL	UCS_0115_BAL	UCS_0116_BAL	UCS_0118_BAL	UCS_0123_BAL	UCS_0128_BAL	UCS_0130_BAL	UCS_0130_UA	UCS_0134_UA	UCS_0136_BKG	UCS_0138_BAL	UCS_0144_BAL	UCS_0147_BAL	UCS_0148_BAL	UCS_0148_UA	UCS_0151_BAL	UCS_0153_BAL	UCS_0153_UA	UCS_0154_BAL	UCS_0154_UA	UCS_0156_BAL	UCS_0158_BAL	UCS_0158_UA	UCS_0159_BAL	UCS_0159_UA	UCS_0160_BAL	UCS_0163_BAL	UCS_0164_BAL	UCS_0164_UA	UCS_0167_UA	UCS_0168_BAL	UCS_0172_UA	UCS_0174_BAL	UCS_0174_UA	UCS_0175_BAL	UCS_0175_UA	UCS_0176_BAL	UCS_0177_BAL	UCS_0177_UA	UCS_0180_BAL	UCS_0182_UA	UCS_0185_BAL	UCS_0185_UA	UCS_0190_BAL	UCS_0191_BAL	UCS_0191_UA	UCS_0192_BAL	UCS_0192_UA	UCS_0194_BAL
Aminocoumarins	0	12	0.888	1.716	0	12	0	0	10	0	8.838	45.541	384.608	26	183.353	1	0	28.921	330.015	9	246.599	1	23	140	120	0	0	0	0	0	39	396	15	0	1	449.908	1	399.056	3593.161	0	12	760.488	1	0	0	0	0	5	635	0	1802.331	1	0	4	294.461	0	5	10	329.615	24	0	0.858	0	31.548	47.577	0	0	0	0	145.972	106.655	417.2	0	0	0	0	11	0	7	0	0	0	5	2190.152	134.082	9855.696	2.893	14	68.904	0	0	3	26	0	14	0	1	10	3	1874.636	0	33	0	0	99.496	12656.947	1	2	6	0	12.667	1287.725	123.351	0	366	6	185	0	1	0.858	1	45.944	20.001	6	70.157	0	0	0	0	9.858	44.688	3	954.977	0	722	302	0	3	0	339.072	3.915	0	7	216.061	2385.577	1261.908	0	0	0	0	1	170	4	1	826.348	4	9.716	0	377.756	9467.751	0	0	0	0	2	0	1361.187	0	677	0	1	9.25	245.19	289.511	4	463.948	53.765	0	0	8	0	1	0.858	2	0	14
Nickel_resistance	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	166	11694	0	0	0	0	0	0	0	0	0	0	0	0	1	159	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	56	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0
Peroxide_resistance	0	0	1	0	0	4	0	2	0	0	0	2	32	3	18	0	0	5	15	5	16	0	3	3	59	0	0	0	0	0	1	0	0	0	0	1	0	10	138	0	5	221	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	37	1	0	0	0	2	0	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	1	1	47	3858	0	0	0	0	0	0	1	0	0	0	0	0	0	42	0	1	0	0	9	1109	0	0	0	0	3	0	0	0	161	0	2	0	0	0	0	0	0	1	0	0	4	0	0	0	19	0	95	0	0	0	0	0	0	28	0	0	0	19	110	139	0	0	0	0	0	0	0	0	0	0	0	0	19	784	0	0	0	0	0	0	165	0	0	0	0	0	10	0	0	0	27	0	0	0	0	0	0	1	0	13
Acetate_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	74	6915	0	0	0	0	0	0	0	0	0	0	0	0	1	81	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0
Mupirocin	0	11	0	33	0	11	0	317	7383	0	8	0	3	25	80	16	157	38	93	1	1766	0	10	1205	0	0	3	30	0	9	40	3	7	1	34	6128	0	0	1	0	8	332	2	3	0	0	0	0	53	0	59	3	0	12	1204	1	135	10	239	0	17	1770	0	13	48	0	0	5	2	184	16	426	0	3	0	0	3	4	1022	82	558	1	0	0	9	1108	1	45	355	0	0	1	0	0	4	0	0	0	0	24	0	63	0	0	92	9313	3	0	0	0	0	105	3	0	0	2	69	0	101	1914	7	2326	5	443	1253	3	701	0	51	1951	1	0	143	1	4	52	444	1	0	177	4	3	2	0	0	986	0	139	4	0	0	2	0	0	147	7	732	7	1401	27333	0	1809	1	0	0	22	1718	0	3	48	202	0	6	0	5	671	1	1	17	19288	0	1	347	0	6	1
Mercury_resistance	0	0	0	0	2	0	0	0	2	0	1	0	28	1	37	2	1	2	213	478.999	66	0	0	0	0	0	0	8	0	0	3	52	0	0	0	443	0	0	14	0	4	437.999	0	0	0	0	1	0	29	0	1	0	0	0	0	0	0	0	0	0	9	633	0	0	0	0	0	0	0	0	1	9	0	0	0	3	82	0	0	1	0	0	0	0	2	37	6	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	425.001	0	0	0	0	2	1	168	0	0	0	0	0	0	0	0	0	0	0	0	0	17	6	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	53	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	511	0	0	0	0	0	0	0	0	0	0
Metronidazole	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	2	46	0	0	0	0	0	0
Paraquat_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiopeptides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxazolidinone	0	21.354	270	8611.771	0	114.899	0	948.996	19787.44	0	3264.19	7.464	866.059	239.806	1239.201	47	8437.055	342	5158.629	29.286	27044.765	0	176	4568.123	0	0	6	269.391	3	133.007	265.687	253.769	2128.327	360.169	70.555	18262.077	13	32.846	304.407	0	122.456	4062.5	10	4	4.168	0	6	35.439	3698.175	41.495	26834.043	7	0	43.878	4561.928	5	285.523	146.863	2616.643	235.56	25	3117.999	0	296.444	587.687	29	38.884	5053.681	6	1291.263	1041.499	12485.039	2	140	2	21.465	20	13	2262.203	294	2836	7	11.398	774.602	21.932	4826.425	28.3	700.239	5844.701	1	1	3.331	73.365	0	60.941	0	4	0	11	12065.38	4	350.913	1	5	746	75629.999	12	1	4	0	0	631	30	0	0	68.63	1563.695	1	246.743	3718.976	75.96	14756.906	10	5553.553	11448.092	17	1835.541	0	140	5326.993	9	1	2202.247	1	149.211	1535.498	3418	58.609	4	1865	342.616	18	311.293	172.826	2442.026	11466.018	0	1064	35	0	4.569	7.002	3.088	5.712	37896.453	61.882	5178.764	8	1933.158	52144.647	2	7684.918	20	0	2.664	155	14223.313	1.331	823.648	701.103	2633.606	43.253	534.064	9.22	20.4	8224.349	14.595	0	21.126	25134.427	0	1	873.024	15	2706	16.726
