UCS.0002.UA_S1_L001	UCS.0002.UA_S1_L002	UCS.0007.UA_S2_L001	UCS.0007.UA_S2_L002	UCS.0010.UA_S3_L001	UCS.0010.UA_S3_L002	UCS.0016.UA_S4_L001	UCS.0016.UA_S4_L002	UCS.0018.UA_S5_L001	UCS.0018.UA_S5_L002	UCS.0020.BAL_S12_L001	UCS.0020.BAL_S12_L002	UCS.0025.BAL_S8_L001	UCS.0025.BAL_S8_L002	UCS.0040.BKG_S16_L001	UCS.0040.BKG_S16_L002	UCS.0047.BAL_S7_L001	UCS.0047.BAL_S7_L002	UCS.0064.BAL_S6_L001	UCS.0064.BAL_S6_L002	UCS.0069.BKG_S17_L001	UCS.0069.BKG_S17_L002	UCS.0070.BKG_S18_L001	UCS.0070.BKG_S18_L002	UCS.0081.BAL_S9_L001	UCS.0081.BAL_S9_L002	UCS.0085.BKG_S20_L001	UCS.0085.BKG_S20_L002	UCS.0136.BKG_S19_L001	UCS.0136.BKG_S19_L002	UCS.0147.BAL_S11_L001	UCS.0147.BAL_S11_L002	UCS.0163.BAL_S10_L001	UCS.0163.BAL_S10_L002	UCS.0191.BAL_S13_L001	UCS.0191.BAL_S13_L002	UCS.0192.BAL_S14_L001	UCS.0192.BAL_S14_L002	UCS.0194.BAL_S15_L001	UCS.0194.BAL_S15_L002
Sphingobium sp. TKS	4.62112761059052e-07	0	2.00449648651856e-07	8.18800812987327e-07	0	0	4.25315599364571e-06	4.15547667304451e-06	6.33160515688135e-06	8.83997436407434e-06	0	0	7.53921806999787e-06	6.85313055899028e-06	2.07531014257738e-05	2.59034198609139e-05	3.98239780171641e-06	0	2.57249284846988e-06	2.75196283749384e-06	3.72255377211027e-05	4.21545015173739e-05	3.2232473072888e-05	3.30260184978457e-05	0	0	1.84457423343378e-05	1.909152956562e-05	3.23226484797898e-05	2.10189591011092e-05	0	0	0	0	0	2.36698155411275e-06	0	3.56742795579243e-06	9.81290711298385e-07	0
Sphingobium sp. MI1205	4.62112761059052e-07	0	0	0	4.90821274059139e-07	5.12999536504919e-07	3.57408066692917e-08	3.74367267841848e-08	0	0	0	0	1.88480451749947e-06	1.95803730256865e-06	2.07531014257738e-05	1.48563731555241e-05	0	0	0	0	2.97088426043416e-05	2.55938044926913e-05	2.23547797118417e-05	2.18353841308071e-05	2.0904189826767e-06	0	1.06791139830377e-05	1.37883269085033e-05	1.71119903716534e-05	2.00180562867707e-05	0	4.33319683763295e-06	0	0	0	0	0	0	0	0
Sphingopyxis macrogoltabida	1.38633828317715e-06	2.87968945428925e-06	1.60359718921485e-06	1.63760162597465e-06	6.62608719979837e-06	6.66899397456394e-06	3.93148873362209e-06	3.81854613198685e-06	3.69343634151412e-06	2.20999359101859e-06	0	0	7.53921806999787e-06	0	0.000156006072786852	0.000162658239420739	0	4.20962235477855e-06	0	5.50392567498768e-06	0.000185411812880108	0.000179909390404506	0.0001356883140649	0.000145478246771502	4.1808379653534e-06	2.23381822080846e-06	7.91225263288701e-05	8.48512425138666e-05	0.000127389261655642	0.000141127296821733	2.02436116222623e-06	4.33319683763295e-06	2.63540722312412e-06	5.68546851103265e-06	2.18679373396123e-06	1.18349077705637e-06	0	3.56742795579243e-06	4.90645355649192e-06	1.08167395534634e-06
Sphingopyxis granuli	9.24225522118103e-07	4.79948242381542e-07	0	2.04700203246832e-07	0	2.56499768252459e-07	3.75278470027563e-06	3.29443195700826e-06	5.27633763073446e-07	0	1.09488491664641e-06	0	1.88480451749947e-06	9.79018651284326e-07	6.36905526515128e-05	5.90445599770831e-05	3.98239780171641e-06	0	0	0	5.51224308562482e-05	6.5490029143063e-05	4.10704092380347e-05	4.0122518340358e-05	0	0	2.18436422380316e-05	2.65160132855833e-05	2.66186516892387e-05	5.00451407169267e-05	0	0	0	0	0	1.18349077705637e-06	3.34697784635364e-06	0	0	1.08167395534634e-06
Sphingopyxis sp. 113P3	9.24225522118103e-07	4.79948242381542e-07	0	4.09400406493664e-07	3.68115955544354e-06	9.490491425341e-06	6.07593713377959e-07	4.49240721410218e-07	5.27633763073446e-07	0	0	1.18600889032264e-06	1.31936316224963e-05	1.27272424666962e-05	5.7249934967652e-05	4.83784459167068e-05	0	8.41924470955711e-06	0	0	4.33104813870522e-05	5.49514037637195e-05	3.32722302687876e-05	4.88566719926808e-05	0	0	2.32998850539004e-05	2.81069740827183e-05	2.56679855574801e-05	1.90171534724321e-05	0	0	0	0	0	1.18349077705637e-06	0	0	9.81290711298385e-07	0
Sphingopyxis fribergensis	9.24225522118103e-07	1.43984472714462e-06	4.00899297303712e-07	8.18800812987327e-07	2.45410637029569e-07	5.12999536504919e-07	2.93074614688192e-06	3.21955850343989e-06	2.11053505229378e-06	1.10499679550929e-06	0	0	0	0	0.000305213715796295	0.00032226901768137	0	0	0	0	0.000293151109553684	0.000299221684877788	0.000248242030521033	0.000237186860120892	0	0	0.000103878654198639	0.000126216223239376	0.000193935890878739	0.00018416611783829	0	0	0	2.84273425551633e-06	0	1.18349077705637e-06	3.34697784635364e-06	0	0	0
Sphingopyxis sp. QXT-31	4.62112761059052e-07	2.39974121190771e-06	1.00224824325928e-06	4.09400406493664e-07	1.71787445920698e-06	1.02599907300984e-06	1.46537307344096e-06	1.68465270528832e-06	0	1.10499679550929e-06	0	0	3.76960903499893e-06	1.95803730256865e-06	8.15811573289041e-05	9.52331612533598e-05	0	0	2.57249284846988e-06	8.25588851248153e-06	9.34217821654596e-05	0.000114419361261443	6.88839142283494e-05	8.3520344300337e-05	2.0904189826767e-06	2.23381822080846e-06	2.66977849575942e-05	3.71224185998166e-05	4.84839727196847e-05	5.20469463456037e-05	0	2.16659841881647e-06	5.27081444624823e-06	2.84273425551633e-06	2.18679373396123e-06	7.10094466233825e-06	0	0	0	1.08167395534634e-06
Sphingopyxis sp. LPB0140	4.62112761059052e-07	0	4.00899297303712e-07	1.02350101623416e-06	1.71787445920698e-06	3.59099675553443e-06	3.82426631361421e-06	2.88262796238223e-06	5.27633763073446e-07	0	0	0	1.88480451749947e-06	4.89509325642163e-06	2.50468465483478e-06	4.95212438517471e-06	0	4.20962235477855e-06	0	0	5.01113007784075e-06	7.15121007884021e-06	1.55963579384942e-06	1.09176920654035e-06	2.0904189826767e-06	0	9.70828543912517e-07	3.18192159427e-06	1.90133226351705e-06	4.00361125735413e-06	2.02436116222623e-06	0	0	0	2.18679373396123e-06	0	0	3.56742795579243e-06	0	2.16334791069267e-06
Sphingopyxis sp. WS5A3p	4.62112761059052e-07	0	1.20269789191114e-06	1.22820121948099e-06	7.36231911088708e-07	1.2824988412623e-06	6.07593713377959e-06	6.88835772829e-06	0	0	0	0	9.42402258749734e-07	9.79018651284326e-07	8.51592782643824e-05	9.63759591884001e-05	0	0	0	0	0.000100222601556815	9.74822847589271e-05	7.92814861873455e-05	8.73415365232282e-05	2.0904189826767e-06	2.23381822080846e-06	3.78623132125882e-05	3.0228255145565e-05	5.79906340372699e-05	6.50586829320047e-05	0	0	7.90622166937235e-06	2.84273425551633e-06	1.09339686698062e-06	1.18349077705637e-06	0	0	0	0
Novosphingobium aromaticivorans	1.38633828317715e-06	4.79948242381542e-07	1.00224824325928e-06	1.02350101623416e-06	1.96328509623655e-06	1.79549837776722e-06	2.25167082016538e-06	2.13389342669853e-06	5.27633763073446e-07	0	0	0	9.42402258749734e-07	9.79018651284326e-07	2.57624707354434e-05	2.59034198609139e-05	0	0	0	0	3.68675998583998e-05	3.61324298720347e-05	2.54740512995405e-05	1.96518457177263e-05	0	0	1.3106185342819e-05	1.53792877056383e-05	1.42599919763778e-05	3.10279872444945e-05	0	0	0	2.84273425551633e-06	0	1.18349077705637e-06	0	0	0	0
Novosphingobium tardaugens	9.24225522118103e-07	9.59896484763083e-07	2.00449648651856e-07	2.04700203246832e-07	0	0	1.03648339340946e-06	5.98987628546957e-07	1.58290128922034e-06	5.52498397754647e-07	0	0	5.6544135524984e-06	2.93705595385298e-06	1.21656111806261e-05	1.5618238445551e-05	0	4.20962235477855e-06	0	0	1.57492659589281e-05	1.84425944138511e-05	8.058118268222e-06	8.73415365232282e-06	0	0	1.01936997110814e-05	1.272768637708e-05	8.55599518582671e-06	6.0054168860312e-06	0	0	0	0	1.09339686698062e-06	0	0	0	9.81290711298385e-07	0
Novosphingobium sp. PP1Y	9.24225522118103e-07	0	0	1.02350101623416e-06	2.69951700732526e-05	2.71889754347607e-05	1.35815065343308e-06	1.16053853030973e-06	5.27633763073446e-07	1.65749519326394e-06	0	0	2.8272067762492e-06	3.9160746051373e-06	2.8624967483826e-05	2.39987566358467e-05	0	4.20962235477855e-06	0	0	4.68898600140813e-05	3.53796709163674e-05	1.48165400415695e-05	1.33741727801193e-05	0	0	1.99019851502066e-05	1.7500568768485e-05	3.04213162162727e-05	3.0027084430156e-05	2.02436116222623e-06	0	0	0	1.09339686698062e-06	0	0	0	0	0
Novosphingobium sp. THN1	9.24225522118103e-07	9.59896484763083e-07	0	4.09400406493664e-07	0	5.12999536504919e-07	1.42963226677167e-06	1.04822834995717e-06	1.05526752614689e-06	0	0	0	6.59681581124814e-06	2.93705595385298e-06	1.96796651451304e-05	2.66652851509408e-05	0	0	2.57249284846988e-06	5.50392567498768e-06	4.83216114648929e-05	4.21545015173739e-05	2.07951439179923e-05	1.8560076511186e-05	0	0	2.03873994221629e-05	2.33340916913133e-05	2.1865321030446e-05	2.90261816158175e-05	4.04872232445246e-06	0	0	2.84273425551633e-06	0	2.36698155411275e-06	3.34697784635364e-06	0	0	0
Citromicrobium sp. JL477	1.84845104423621e-06	9.59896484763083e-07	1.60359718921485e-06	4.09400406493664e-07	4.90821274059139e-07	2.56499768252459e-06	2.46611566018113e-06	2.99493814273478e-06	2.11053505229378e-06	0	0	0	9.42402258749734e-07	6.85313055899028e-06	1.93218530515825e-05	7.99958554528222e-06	0	0	0	0	3.14985319178561e-05	2.78520813596934e-05	1.92355081241429e-05	2.18353841308071e-05	0	0	1.06791139830377e-05	7.95480398567499e-06	7.60532905406819e-06	1.90171534724321e-05	0	0	0	0	2.18679373396123e-06	1.18349077705637e-06	0	0	0	1.08167395534634e-06
Sphingosinicella microcystinivorans	9.24225522118103e-07	4.79948242381542e-07	0	6.14100609740495e-07	9.81642548118277e-07	5.12999536504919e-07	4.7535272870158e-06	4.71702757480728e-06	0	0	0	0	9.42402258749734e-07	0	1.46702958354608e-05	1.59991710905644e-05	0	0	0	0	2.82770911535299e-05	2.86048403153608e-05	2.07951439179923e-05	2.04706726226316e-05	0	0	1.11645282549939e-05	9.54576478280999e-06	1.90133226351705e-05	1.10099309577239e-05	0	0	0	2.84273425551633e-06	1.09339686698062e-06	2.36698155411275e-06	0	0	0	0
Sphingosinicella sp. BN140058	4.62112761059052e-07	9.59896484763083e-07	4.00899297303712e-07	4.09400406493664e-07	2.45410637029569e-07	2.56499768252459e-07	5.46834342040163e-06	4.45497048731799e-06	6.33160515688135e-06	2.76249198877323e-06	0	0	0	1.95803730256865e-06	2.14687256128695e-05	2.39987566358467e-05	0	0	0	1.10078513499754e-05	4.04469784854289e-05	3.16158761380304e-05	3.56116839595618e-05	4.55813643730597e-05	0	0	1.60186709745565e-05	1.37883269085033e-05	1.9963988766929e-05	3.0027084430156e-05	2.02436116222623e-06	0	1.05416288924965e-05	0	2.18679373396123e-06	0	0	0	0	0
Sphingorhabdus flavimaris	4.62112761059052e-07	4.79948242381542e-07	0	4.09400406493664e-07	7.60772974791665e-06	6.15599443805903e-06	2.1444484001575e-07	3.74367267841848e-08	0	5.52498397754647e-07	0	0	0	0	9.30311443224345e-06	6.85678761024191e-06	3.98239780171641e-06	0	0	2.75196283749384e-06	1.32437009200077e-05	1.05386253793435e-05	3.37921088667374e-06	9.280038255593e-06	0	0	6.31038553543136e-06	1.272768637708e-05	6.65466292230966e-06	8.00722251470827e-06	0	0	5.27081444624823e-06	0	0	0	0	0	0	0
Sphingorhabdus sp. Alg231-15	4.62112761059052e-07	9.59896484763083e-07	2.00449648651856e-07	2.04700203246832e-07	6.62608719979837e-06	7.18199351106886e-06	1.715558720126e-06	1.60977925171995e-06	3.16580257844067e-06	1.65749519326394e-06	0	0	9.42402258749734e-07	1.95803730256865e-06	9.30311443224345e-06	7.23772025525535e-06	0	0	5.14498569693976e-06	5.50392567498768e-06	7.87463297946403e-06	8.28034851234129e-06	4.93884668052316e-06	7.64238444578247e-06	0	0	3.39789990369381e-06	9.54576478280999e-06	6.65466292230966e-06	7.00631970036973e-06	0	2.16659841881647e-06	2.63540722312412e-06	0	0	1.18349077705637e-06	3.34697784635364e-06	0	0	0
Blastomonas sp. RAC04	4.62112761059052e-07	0	8.01798594607423e-07	2.04700203246832e-07	0	0	3.57408066692917e-08	3.74367267841848e-08	5.27633763073446e-07	0	0	0	0	1.95803730256865e-06	1.82484167709391e-05	1.29517099304569e-05	0	0	0	0	1.93286445859572e-05	1.58079380690152e-05	9.09787546412162e-06	1.36471150817544e-05	0	0	7.76662835130013e-06	5.30320265711666e-06	5.70399679055114e-06	7.00631970036973e-06	0	0	2.63540722312412e-06	0	0	1.18349077705637e-06	0	0	0	0
Altererythrobacter sp. ZODW24	1.38633828317715e-06	0	1.60359718921485e-06	8.18800812987327e-07	8.83478293306449e-06	5.64299490155411e-06	6.25464116712605e-06	7.74940244432625e-06	1.05526752614689e-06	1.65749519326394e-06	2.18976983329282e-06	0	4.71201129374867e-06	4.89509325642163e-06	1.78906046773912e-06	4.19025909514783e-06	0	0	0	0	5.72700580324657e-06	7.15121007884021e-06	4.93884668052316e-06	2.45648071471579e-06	0	0	9.70828543912517e-07	2.12128106284666e-06	0	1.00090281433853e-05	0	0	0	0	0	0	0	0	0	0
Altererythrobacter atlanticus	9.24225522118103e-07	4.79948242381542e-07	6.01348945955568e-07	6.14100609740495e-07	0	2.56499768252459e-07	1.00074258674017e-06	8.98481442820435e-07	5.27633763073446e-07	3.31499038652788e-06	3.28465474993923e-06	4.74403556129057e-06	4.71201129374867e-06	1.95803730256865e-06	7.87186605805215e-06	8.7614508353091e-06	2.38943868102985e-05	1.68384894191142e-05	5.14498569693976e-06	5.50392567498768e-06	1.53913280962252e-05	1.09150048571772e-05	1.14373291548957e-05	1.66494803997404e-05	2.0904189826767e-06	0	6.79579980738762e-06	4.24256212569333e-06	9.50666131758523e-06	1.90171534724321e-05	8.09744464890492e-06	6.49979525644942e-06	0	5.68546851103265e-06	0	0	0	7.13485591158487e-06	1.96258142259677e-06	2.16334791069267e-06
Altererythrobacter mangrovi	9.24225522118103e-07	9.59896484763083e-07	0	2.04700203246832e-07	2.45410637029569e-07	5.12999536504919e-07	0	0	0	0	0	0	0	0	9.30311443224345e-06	1.18089119954166e-05	0	4.20962235477855e-06	0	0	1.14540116064931e-05	1.731345598035e-05	1.0657511257971e-05	6.8235575408772e-06	0	0	4.36872844760633e-06	8.48512425138665e-06	9.50666131758523e-06	6.0054168860312e-06	0	0	0	0	0	1.18349077705637e-06	0	0	0	0
Altererythrobacter sp. B11	9.24225522118103e-07	9.59896484763083e-07	4.00899297303712e-07	0	0	0	3.21667260023625e-07	8.6104471603625e-07	5.27633763073446e-07	5.52498397754647e-07	0	0	0	2.93705595385298e-06	4.2937451225739e-05	4.11407256614514e-05	0	0	2.57249284846988e-06	2.75196283749384e-06	5.36906794054366e-05	5.49514037637195e-05	3.82110769493108e-05	4.50354797697895e-05	0	0	2.23290565099879e-05	3.18192159427e-05	2.09146548986875e-05	2.30207647297863e-05	0	0	0	2.84273425551633e-06	0	1.18349077705637e-06	0	0	9.81290711298385e-07	0
Altererythrobacter sp. NS1	9.24225522118103e-07	9.59896484763083e-07	6.01348945955568e-07	4.09400406493664e-07	7.85314038494622e-06	5.12999536504919e-06	5.00371293370084e-07	5.24114174978587e-07	2.11053505229378e-06	5.52498397754647e-07	1.09488491664641e-06	0	5.6544135524984e-06	0	1.10921748999826e-05	1.79038343156316e-05	0	0	0	5.50392567498768e-06	3.93731648973202e-05	3.31213940493652e-05	2.36544762067162e-05	2.04706726226316e-05	2.0904189826767e-06	0	1.3106185342819e-05	7.42448371996332e-06	1.9963988766929e-05	1.10099309577239e-05	0	0	2.63540722312412e-06	0	0	0	0	0	0	0
Porphyrobacter sp. CACIAM 03H1	9.24225522118103e-07	9.59896484763083e-07	2.00449648651856e-07	0	0	2.56499768252459e-07	1.42963226677167e-07	7.48734535683696e-08	1.05526752614689e-06	5.52498397754647e-07	0	1.18600889032264e-06	1.88480451749947e-06	9.79018651284326e-07	2.57624707354434e-05	3.1236476891102e-05	0	0	0	0	4.90374871902987e-05	3.42505324828663e-05	2.31345976087664e-05	2.56565763536983e-05	0	0	1.60186709745565e-05	1.96218498313316e-05	3.04213162162727e-05	3.60325013161872e-05	2.02436116222623e-06	0	0	0	0	1.18349077705637e-06	3.34697784635364e-06	0	0	2.16334791069267e-06
Porphyrobacter neustonensis	4.62112761059052e-07	0	1.20269789191114e-06	0	2.45410637029569e-06	1.53899860951476e-06	2.43037485351184e-06	2.54569742132457e-06	3.16580257844067e-06	3.86748878428253e-06	0	0	7.53921806999787e-06	2.93705595385298e-06	1.07343628064347e-05	1.63801037355779e-05	0	0	5.14498569693976e-06	2.75196283749384e-06	2.93509047416387e-05	2.52174250148576e-05	1.29969649487452e-05	1.39200573833895e-05	0	0	1.06791139830377e-05	7.95480398567499e-06	5.70399679055114e-06	1.5013542215078e-05	0	0	0	2.84273425551633e-06	1.09339686698062e-06	0	0	0	0	0
Porphyrobacter sp. LM 6	4.62112761059052e-07	0	1.00224824325928e-06	0	0	0	1.53685468677954e-06	1.08566507674136e-06	1.58290128922034e-06	5.52498397754647e-07	0	0	1.88480451749947e-06	3.9160746051373e-06	8.94530233869563e-06	1.52373058005376e-05	0	0	0	0	2.25500853502834e-05	3.27450145715315e-05	1.74159330313185e-05	1.69224227013755e-05	0	2.23381822080846e-06	8.73745689521265e-06	8.48512425138665e-06	6.65466292230966e-06	1.70153478437551e-05	0	0	0	1.42136712775816e-05	1.09339686698062e-06	0	0	0	0	2.16334791069267e-06
Porphyrobacter sp. HT-58-2	4.62112761059052e-07	4.79948242381542e-07	4.00899297303712e-07	6.14100609740495e-07	1.22705318514785e-06	5.12999536504919e-07	1.96574436681104e-06	2.17133015348272e-06	5.27633763073446e-07	1.65749519326394e-06	0	0	9.42402258749734e-07	5.87411190770595e-06	1.46702958354608e-05	1.25707772854435e-05	0	0	0	0	2.68453397027183e-05	2.52174250148576e-05	1.50764793405444e-05	1.44659419866597e-05	0	0	6.79579980738762e-06	6.36384318853999e-06	1.04573274493438e-05	7.00631970036973e-06	0	0	0	0	1.09339686698062e-06	1.18349077705637e-06	0	0	9.81290711298385e-07	0
Erythrobacter sp. Alg231-14	1.38633828317715e-06	9.59896484763083e-07	6.01348945955568e-07	6.14100609740495e-07	9.81642548118277e-06	1.02599907300984e-05	7.14816133385834e-08	3.74367267841848e-08	0	0	0	1.18600889032264e-06	1.31936316224963e-05	9.79018651284326e-06	1.78906046773912e-06	3.04746116010751e-06	3.98239780171641e-06	0	2.57249284846988e-06	5.50392567498768e-06	4.29525435243493e-06	3.76379477833695e-06	1.55963579384942e-06	3.27530761962106e-06	0	0	1.45624281586878e-06	4.24256212569333e-06	9.50666131758523e-07	0	0	0	0	0	0	1.18349077705637e-06	3.34697784635364e-06	0	9.81290711298385e-07	0
Erythrobacter seohaensis	4.62112761059052e-07	0	2.00449648651856e-07	2.04700203246832e-07	2.45410637029569e-07	0	1.82278114013388e-06	1.57234252493576e-06	1.05526752614689e-06	5.52498397754647e-07	2.18976983329282e-06	0	9.42402258749734e-07	1.95803730256865e-06	6.44061768386085e-06	8.38051819029567e-06	0	0	0	0	1.2169887331899e-05	1.24205227685119e-05	3.89908948462355e-06	8.18826904905264e-06	0	0	9.22287116716891e-06	4.77288239140499e-06	8.55599518582671e-06	1.70153478437551e-05	0	0	0	0	1.09339686698062e-06	1.18349077705637e-06	3.34697784635364e-06	0	0	0
Qipengyuania sediminis	1.38633828317715e-06	0	2.00449648651856e-07	0	2.45410637029569e-07	2.56499768252459e-07	2.25167082016538e-06	2.62057087489294e-06	0	5.52498397754647e-07	0	0	0	0	1.00187386193391e-05	1.29517099304569e-05	0	0	0	0	2.57715261146096e-05	3.31213940493652e-05	1.45566007425946e-05	1.8560076511186e-05	0	0	5.8249712634751e-06	5.30320265711666e-06	7.60532905406819e-06	4.00361125735413e-06	0	0	2.63540722312412e-06	0	0	0	0	0	0	0
Croceicoccus marinus	9.24225522118103e-07	1.43984472714462e-06	0	0	1.47246382217742e-06	7.69499304757378e-07	3.18093179356696e-06	2.50826069454038e-06	1.05526752614689e-06	1.65749519326394e-06	0	0	1.88480451749947e-06	9.79018651284326e-07	2.14687256128695e-05	1.33326425754704e-05	0	1.26288670643357e-05	5.14498569693976e-06	0	2.18342096248775e-05	1.76898354581837e-05	1.76758723302934e-05	1.28282881768491e-05	0	4.46763644161693e-06	1.3106185342819e-05	1.272768637708e-05	1.61613242398949e-05	1.70153478437551e-05	2.02436116222623e-06	0	5.27081444624823e-06	2.84273425551633e-06	0	4.7339631082255e-06	3.34697784635364e-06	3.56742795579243e-06	0	0
Komagataeibacter rhaeticus	1.89466232034211e-05	2.06377744224063e-05	0.000145927344218551	0.000161099059955257	8.29487953159944e-05	8.5414422828069e-05	4.37467473632131e-05	4.51112557749427e-05	0.000195224492337175	0.000253044266171628	2.84670078328067e-05	5.45564089548415e-05	0.000202616485631193	0.000215384103282552	6.72686735869911e-05	7.42818657776207e-05	0.000374345393361343	0.000450429591961305	0.00100584470375172	0.00109252924648506	0.000520441652370032	0.000525049371578005	6.73242784345e-05	7.23297099332984e-05	0.000570684382270739	0.000598663283176668	0.000410175059803038	0.000423195572037909	0.000391674446284512	0.000410370153878799	0.000334019591767328	0.000292490786540224	0.000996183930340916	0.000935259570064871	0.000485468208939394	0.000511268015688354	0.00111119664498941	0.00092396384055024	0.00035228336535612	0.000346135665710827
Komagataeibacter xylinus	2.77267656635431e-06	1.43984472714462e-06	4.00899297303712e-07	2.04700203246832e-07	1.71787445920698e-06	1.79549837776722e-06	4.28889680031501e-06	5.1662682962175e-06	3.16580257844067e-06	5.52498397754647e-07	1.09488491664641e-06	1.18600889032264e-06	2.8272067762492e-05	3.81817274000887e-05	8.94530233869563e-06	1.21898446404301e-05	3.98239780171641e-06	4.20962235477855e-06	2.57249284846988e-06	0	1.50333902335222e-05	1.69370765025163e-05	1.19572077528456e-05	9.82592285886317e-06	0	0	5.8249712634751e-06	1.06064053142333e-05	7.60532905406819e-06	1.90171534724321e-05	0	0	2.63540722312412e-06	0	1.09339686698062e-06	1.18349077705637e-06	0	3.56742795579243e-06	9.81290711298385e-07	0
Komagataeibacter hansenii	1.84845104423621e-06	4.79948242381542e-07	8.01798594607423e-07	2.04700203246832e-07	7.60772974791665e-06	7.18199351106886e-06	7.89871827391347e-06	8.31095334608902e-06	2.63816881536723e-06	3.31499038652788e-06	1.09488491664641e-06	1.18600889032264e-06	1.13088271049968e-05	1.07692051641276e-05	1.07343628064347e-06	3.42839380512095e-06	0	0	7.71747854540964e-06	0	8.23257084216694e-06	5.26931268967173e-06	2.07951439179923e-06	4.36707682616141e-06	0	0	3.39789990369381e-06	1.590960797135e-06	3.80266452703409e-06	1.00090281433853e-06	0	0	2.63540722312412e-06	0	1.09339686698062e-06	1.18349077705637e-06	0	0	0	0
Komagataeibacter medellinensis	4.62112761059052e-07	9.59896484763083e-07	8.01798594607423e-07	4.09400406493664e-07	4.90821274059139e-07	3.59099675553443e-06	6.43334520047251e-07	1.01079162317299e-06	5.27633763073446e-07	2.20999359101859e-06	1.09488491664641e-06	0	0	0	3.57812093547825e-06	1.52373058005376e-06	0	0	0	0	2.50556503892037e-06	1.88189738916848e-06	2.33945369077413e-06	3.54824992125615e-06	0	0	4.85414271956258e-07	1.590960797135e-06	1.90133226351705e-06	0	0	0	0	0	0	0	0	0	0	0
Acetobacter aceti	9.24225522118103e-07	0	1.00224824325928e-06	0	9.32560420712363e-06	3.59099675553443e-06	3.50259905359059e-06	2.84519123559804e-06	5.27633763073446e-07	0	0	1.18600889032264e-06	9.42402258749734e-07	4.89509325642163e-06	2.14687256128695e-06	6.85678761024191e-06	0	0	0	0	3.5793786270291e-06	4.51655373400434e-06	2.07951439179923e-06	2.72942301635088e-06	2.0904189826767e-06	0	1.45624281586878e-06	5.30320265711666e-07	1.90133226351705e-06	5.00451407169267e-06	2.02436116222623e-06	0	0	2.84273425551633e-06	0	0	0	0	0	0
Acetobacter ascendens	9.24225522118103e-07	4.79948242381542e-07	1.60359718921485e-06	4.09400406493664e-07	2.94492764435483e-06	0	3.57408066692917e-08	7.48734535683696e-08	6.33160515688135e-06	7.1824791708104e-06	0	0	1.88480451749947e-06	8.81116786155893e-06	2.50468465483478e-06	2.28559587008064e-06	0	0	0	5.50392567498768e-06	1.43175145081164e-06	7.5275895566739e-06	1.29969649487452e-06	2.18353841308071e-06	0	0	5.33955699151884e-06	2.12128106284666e-06	1.90133226351705e-06	8.00722251470827e-06	0	4.33319683763295e-06	0	8.52820276654898e-06	0	0	0	0	0	2.16334791069267e-06
Acetobacter pasteurianus	4.62112761059052e-07	4.79948242381542e-07	2.00449648651856e-07	4.09400406493664e-07	2.45410637029569e-07	5.12999536504919e-07	2.10870759348821e-06	1.94670979277761e-06	2.63816881536723e-06	2.76249198877323e-06	1.09488491664641e-06	1.18600889032264e-06	6.59681581124814e-06	4.89509325642163e-06	3.93593302902608e-06	4.95212438517471e-06	0	0	2.57249284846988e-06	2.75196283749384e-06	8.94844656757276e-06	1.12913843350109e-05	7.7981789692471e-06	7.64238444578247e-06	2.0904189826767e-06	4.46763644161693e-06	2.42707135978129e-06	7.95480398567499e-06	7.60532905406819e-06	1.30117365864009e-05	8.09744464890492e-06	0	5.27081444624823e-06	5.68546851103265e-06	1.09339686698062e-06	1.18349077705637e-06	3.34697784635364e-06	1.07022838673773e-05	0	3.24502186603901e-06
Gluconobacter oxydans	1.38633828317715e-06	9.59896484763083e-07	1.00224824325928e-06	0	0	1.02599907300984e-06	4.11019276696855e-06	4.08060321947614e-06	1.58290128922034e-06	1.10499679550929e-06	0	0	1.69632406574952e-05	1.17482238154119e-05	1.68171683967478e-05	1.63801037355779e-05	0	0	2.57249284846988e-06	2.75196283749384e-06	2.21921474875805e-05	2.5970183970525e-05	1.11773898559208e-05	1.96518457177263e-05	0	0	1.21353567989065e-05	1.16670458456567e-05	1.04573274493438e-05	1.20108337720624e-05	0	0	2.63540722312412e-06	0	1.09339686698062e-06	2.36698155411275e-06	3.34697784635364e-06	0	0	0
Acetobacteraceae bacterium	1.38633828317715e-06	4.79948242381542e-07	6.01348945955568e-07	6.14100609740495e-07	4.90821274059139e-07	0	3.93148873362209e-07	6.73861082115326e-07	5.8039713938079e-06	7.73497756856505e-06	1.09488491664641e-06	4.74403556129057e-06	9.42402258749734e-07	1.07692051641276e-05	2.8624967483826e-06	3.80932645013439e-06	3.98239780171641e-06	0	0	5.50392567498768e-06	3.93731648973202e-06	1.12913843350109e-06	2.07951439179923e-06	6.8235575408772e-06	2.0904189826767e-06	0	2.91248563173755e-06	4.24256212569333e-06	7.60532905406819e-06	7.00631970036973e-06	0	4.33319683763295e-06	5.27081444624823e-06	0	2.18679373396123e-06	1.18349077705637e-06	0	3.56742795579243e-06	9.81290711298385e-07	0
